hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0001,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC China,85044083,SEK,433859.0
HVDC-ADOPT-HE-0002,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85044083,SEK,433859.0
HVDC-ADOPT-HE-0003,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85044083,SEK,433859.0
HVDC-ADOPT-HE-0004,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Tessa,85044083,SEK,433859.0
HVDC-ADOPT-HE-0005,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Loretto,85044083,SEK,333859.0
HVDC-ADOPT-HE-0007,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0008,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0009,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0010,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0011,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0012,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0013,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0014,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0015,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0016,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0017,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0018,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0019,,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0020,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0021,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Ambra,8504 50 00,EUR,164968.3
HVDC-ADOPT-HE-0022,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Ambra,8504 50 00,EUR,164968.3
HVDC-ADOPT-HE-0023,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0024,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0025,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0026,,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0027,,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Tessa,85044083,SEK,433859.0
HVDC-ADOPT-HE-0028,,HITACHI,Belgium,Antwerp,Khalifa port,MARIE Maersk,85045000,EUR,164968.3
HVDC-ADOPT-HE-0029,,HITACHI,Belgium,Antwerp,Khalifa port,EDITH Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0030,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0031,,HITACHI,Belgium,Antwerp,Khalifa port,ESTELLE Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0032,,HITACHI,Belgium,Antwerp,Khalifa port,ELLY Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0033,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
HVDC-ADOPT-HE-0034,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,129230.7
HVDC-ADOPT-HE-0035,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0036,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0037,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0038,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
HVDC-ADOPT-HE-0039,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,129230.7
HVDC-ADOPT-HE-0040,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0041,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,8535.84
HVDC-ADOPT-HE-0042,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0043,,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
